gender,exhaust_volume,motorcycle_style,passenger_on_backseat,helmet,height,weight,age,purchase_price,monthly_mileage,traffic_ticket_count,speeding_habbit,has_license,has_modifications,is_noisy_engine,is_mountain_ride,has_regular_maintenance,commute_with_motorcycle,class
woman,125,Cuxi,seldom,2,159.991,53.092,42.817,120,796,4,9,0,0,0,0,0,1,low_risk
man,100,FORCE,seldom,3,171.347,83.432,22.978,111,987,6,21,1,0,0,0,0,1,low_risk
woman,125,Fiddle,usually,3,168.17,54.444,29.985,72,881,7,1,1,1,1,0,0,1,low_risk
woman,125,duke,never,2,148.915,46.333,25.174,117,472,0,26,1,1,0,1,0,1,low_risk
man,125,famous,seldom,2,167.757,68.949,41.978,112,44,0,14,1,0,0,0,0,1,low_risk
man,125,JET,sometimes,2,167.387,75.551,34.942,93,319,6,11,1,0,1,0,0,0,low_risk
woman,125,Swish,sometimes,2,165.592,49.794,29.023,42,58,4,23,1,0,0,0,1,1,low_risk
man,125,Many,seldom,2,174.858,67.88,38.452,98,825,10,9,1,0,0,0,1,1,low_risk
man,125,GP,seldom,2,158.081,64.675,59.33,55,0,6,9,1,0,0,1,1,0,low_risk
woman,150,GP,always,2,139.855,64.109,19.684,41,632,0,12,1,0,0,1,1,1,low_risk
woman,125,JET,seldom,3,167.863,54.392,44.754,100,20,10,22,1,0,0,0,0,0,low_risk
man,125,axis Z,usually,3,175.194,69.483,29.079,70,497,6,6,1,1,0,1,0,0,low_risk
man,125,famous,seldom,2,167.837,63.967,18.922,114,889,5,16,1,1,0,0,1,0,low_risk
man,50,Many,usually,3,160.912,71.187,28.467,115,662,10,3,1,0,1,0,0,1,low_risk
woman,125,Limi,always,2,160.877,43.241,22.514,71,598,5,29,1,0,0,1,0,1,low_risk
man,125,Cuxi,never,2,167.233,69.454,19.717,92,812,6,6,1,0,0,1,1,0,low_risk
woman,125,FORCE,never,3,156.704,52.455,21.11,90,524,4,6,0,0,0,0,1,1,low_risk
man,150,POG,never,2,172.425,77.163,23.332,66,889,5,22,1,0,0,1,1,1,low_risk
man,125,Many,sometimes,2,171.355,79.684,25.051,121,967,0,10,0,0,0,1,0,1,medium_risk
man,125,famous,seldom,2,164.444,59.12,36.576,103,920,1,24,1,0,1,0,0,1,medium_risk
woman,100,Fiddle,seldom,2,154.262,40.608,54.685,108,77,7,15,1,0,0,0,0,1,low_risk
man,50,Many,always,2,179.633,84.502,39.723,108,383,1,27,1,0,0,1,0,1,low_risk
woman,125,cygnus,seldom,2,154.2,48.038,36.211,102,948,5,20,1,1,0,0,1,1,low_risk
man,150,GP,always,2,175.564,61.673,23.905,54,299,1,1,1,0,0,0,1,1,low_risk
man,150,Many,seldom,3,170.441,72.566,28.293,121,257,10,20,1,0,0,0,0,1,low_risk
man,150,Swish,always,1,158.636,58.276,32.672,43,158,3,17,1,0,0,0,1,1,low_risk
woman,100,Swish,sometimes,2,164.509,62.985,65.434,48,533,1,6,1,0,0,1,0,0,low_risk
man,125,POG,sometimes,2,177.094,67.466,26.314,124,11,6,14,1,1,0,0,1,1,low_risk
man,150,FORCE,seldom,3,171.077,61.075,33.098,115,615,3,12,1,0,0,0,0,1,low_risk
woman,125,axis Z,usually,3,175.0,56.792,26.558,57,17,1,2,1,0,1,1,1,1,low_risk
man,150,POG,usually,2,180.812,61.824,40.03,115,636,10,1,1,1,0,0,0,1,low_risk
woman,125,famous,sometimes,2,154.037,57.959,27.999,89,212,6,5,1,1,0,0,0,0,low_risk
man,50,Swish,sometimes,2,168.435,81.564,40.183,47,598,7,23,1,0,0,0,0,1,low_risk
woman,125,Fiddle,always,2,160.369,49.092,27.197,77,51,7,21,1,0,0,1,1,1,low_risk
man,150,axis Z,seldom,2,164.633,82.217,28.272,115,25,1,15,0,0,0,0,0,1,low_risk
woman,150,cygnus,seldom,1,157.584,50.448,27.826,90,974,8,1,1,0,0,1,1,1,low_risk
woman,125,GP,seldom,2,147.048,56.882,26.794,88,120,8,23,1,1,0,0,0,1,low_risk
woman,125,FORCE,seldom,2,151.42,60.69,19.477,67,85,5,22,1,0,0,1,0,1,low_risk
woman,125,POG,sometimes,3,155.506,52.141,23.083,47,722,7,16,1,1,0,0,1,1,low_risk
woman,125,DRG,sometimes,2,154.71,41.347,46.518,125,198,7,12,1,0,0,0,0,1,low_risk
woman,125,Many,seldom,3,156.448,54.46,40.466,45,458,2,15,1,0,0,0,0,1,low_risk
woman,125,duke,sometimes,2,163.156,58.715,27.92,102,166,6,24,0,0,0,0,1,1,low_risk
man,150,POG,seldom,2,182.145,81.492,23.368,76,629,6,12,1,0,0,0,0,1,low_risk
man,150,FORCE,always,2,177.534,77.664,41.173,108,737,0,17,1,0,1,0,1,1,low_risk
man,125,duke,seldom,2,192.797,68.856,25.218,51,868,9,15,1,0,0,1,0,1,low_risk
woman,150,JET,never,2,155.953,79.704,24.338,74,198,10,29,1,0,0,0,1,1,low_risk
man,150,GP,sometimes,2,185.725,75.707,19.777,62,901,5,4,0,0,0,0,1,0,low_risk
woman,150,FORCE,seldom,2,161.476,46.446,29.519,104,149,9,28,0,0,0,1,1,0,low_risk
man,125,POG,seldom,2,178.938,72.944,30.263,67,347,6,11,0,0,0,1,0,1,low_risk
man,100,DRG,never,3,180.564,62.389,27.324,58,777,6,20,1,0,0,0,1,0,low_risk
woman,125,Swish,seldom,2,161.62,58.712,21.179,44,281,8,27,1,1,0,0,1,1,low_risk
man,125,Fiddle,sometimes,2,180.789,65.246,19.637,69,799,8,18,1,1,0,0,1,1,low_risk
woman,125,DRG,sometimes,2,147.791,53.996,18.586,73,81,2,19,1,0,0,0,1,1,low_risk
woman,125,BWS,always,3,158.667,53.477,55.464,57,74,1,25,1,1,0,0,0,1,low_risk
woman,125,BWS,always,2,162.34,45.334,24.318,45,899,7,19,1,1,0,0,0,1,low_risk
man,150,POG,usually,2,169.797,75.154,33.74,67,439,2,24,1,0,0,0,0,1,low_risk
man,100,axis Z,sometimes,2,173.169,73.849,19.576,64,815,10,3,1,0,0,0,1,0,low_risk
man,100,FORCE,usually,2,164.862,61.041,32.472,112,456,8,24,1,0,0,0,1,1,low_risk
woman,150,DRG,seldom,3,158.562,49.932,53.572,82,223,9,18,1,1,0,0,1,0,low_risk
woman,125,Swish,sometimes,2,158.229,41.669,20.682,128,933,1,9,1,0,0,0,0,1,medium_risk
man,125,FORCE,sometimes,1,173.74,55.781,40.074,95,519,8,20,1,1,0,0,1,0,high_risk
man,125,BWS,seldom,2,178.736,75.678,28.916,119,514,3,8,1,0,0,0,1,1,low_risk
man,150,Cuxi,seldom,3,159.586,51.558,38.994,96,531,10,9,1,0,0,0,1,0,low_risk
woman,125,duke,never,2,165.559,38.922,37.24,111,984,6,14,1,0,0,0,1,1,low_risk
man,50,cygnus,sometimes,2,177.625,74.201,26.424,127,105,3,7,1,1,0,1,0,1,low_risk
man,125,Cuxi,seldom,3,183.006,52.804,22.077,103,508,6,11,0,1,0,0,1,1,low_risk
woman,125,DRG,seldom,2,159.123,34.501,31.599,92,2,7,2,1,1,0,1,1,1,low_risk
man,125,Cuxi,seldom,1,191.62,75.344,19.837,92,968,1,4,1,0,0,1,0,1,low_risk
man,125,Cuxi,always,2,186.065,72.524,18.424,52,502,1,19,1,0,0,0,0,1,low_risk
woman,125,GP,never,2,156.973,40.843,22.48,51,658,1,29,1,1,1,0,0,1,medium_risk
woman,150,FORCE,seldom,2,162.124,55.788,27.186,99,79,5,21,1,1,1,1,1,1,low_risk
woman,100,Swish,seldom,3,153.06,70.838,76.27,54,211,9,14,1,0,1,0,0,0,low_risk
woman,100,axis Z,usually,3,155.052,44.06,26.319,81,379,9,3,1,0,0,0,1,1,low_risk
woman,150,axis Z,seldom,3,164.373,44.144,49.532,104,432,8,26,1,0,1,0,0,1,low_risk
woman,100,Swish,never,3,156.646,65.975,26.491,130,207,2,16,0,0,0,1,0,1,low_risk
man,125,FORCE,always,2,192.349,69.283,38.902,42,372,10,15,1,0,0,0,1,1,low_risk
woman,150,axis Z,sometimes,2,150.778,53.477,21.744,42,422,8,28,1,0,0,0,1,1,low_risk
man,100,Limi,seldom,3,179.814,50.989,29.727,87,421,2,24,1,0,0,0,0,1,low_risk
man,125,FORCE,seldom,3,167.026,61.608,32.965,67,885,9,27,1,0,0,0,1,0,low_risk
woman,100,FORCE,seldom,2,155.931,43.431,24.699,62,63,2,5,1,0,0,0,1,0,low_risk
man,150,JET,usually,2,171.25,60.108,44.765,54,21,2,12,1,0,0,1,1,1,low_risk
man,125,Fiddle,seldom,3,171.092,69.223,28.417,50,907,8,27,1,0,0,1,0,1,low_risk
man,50,famous,never,2,184.746,81.235,34.473,51,254,0,19,1,0,0,0,0,0,low_risk
man,50,Swish,seldom,3,166.982,83.013,37.137,90,968,3,17,1,0,0,0,0,1,low_risk
man,50,Swish,usually,3,181.307,78.078,39.651,69,95,1,10,1,0,0,1,1,1,low_risk
man,125,duke,sometimes,2,167.384,68.254,22.766,107,506,3,28,1,0,0,0,0,1,low_risk
man,125,GP,sometimes,2,180.472,80.882,31.62,102,349,0,0,1,0,0,1,1,1,low_risk
man,125,Many,usually,3,168.039,66.445,41.16,126,597,4,5,1,0,0,0,1,0,low_risk
woman,125,DRG,seldom,2,155.281,55.742,30.921,69,247,0,10,1,0,0,0,1,0,low_risk
man,125,JET,never,2,174.638,67.042,35.504,89,698,1,10,1,0,0,1,0,1,medium_risk
woman,150,axis Z,seldom,3,152.75,43.401,23.421,45,690,5,25,1,0,0,1,0,0,low_risk
man,150,Limi,usually,2,188.379,71.51,44.05,57,596,2,12,1,1,1,1,1,1,low_risk
man,125,Limi,sometimes,2,192.873,77.536,28.84,60,408,9,25,1,0,0,0,1,1,low_risk
woman,50,Many,seldom,1,158.463,65.737,20.455,130,613,6,17,1,1,1,1,1,1,low_risk
woman,100,axis Z,seldom,3,155.263,49.885,21.189,114,349,8,3,0,0,1,0,1,0,low_risk
man,125,JET,seldom,3,177.302,60.295,29.133,61,117,1,26,1,0,0,0,1,1,low_risk
man,125,Many,seldom,3,175.167,60.468,35.493,94,309,10,13,1,0,0,1,1,1,low_risk
man,50,Fiddle,seldom,2,175.928,75.663,18.149,75,131,5,29,0,0,0,0,0,1,low_risk
woman,125,FORCE,seldom,2,158.635,47.991,30.061,77,226,6,13,1,0,0,0,0,1,low_risk
woman,125,famous,usually,2,169.633,34.974,30.94,110,648,3,23,1,1,0,1,1,0,low_risk
woman,125,Swish,usually,3,150.674,54.03,37.703,86,762,0,23,1,0,0,0,1,1,low_risk
man,100,DRG,usually,2,166.249,72.463,36.796,50,683,3,23,1,1,0,0,0,1,low_risk
woman,100,BWS,usually,2,150.94,55.705,28.506,91,131,3,15,1,0,0,0,0,1,low_risk
woman,100,BWS,seldom,2,164.881,48.223,27.298,126,7,6,0,1,0,0,0,0,1,low_risk
woman,125,Cuxi,usually,2,159.117,49.369,30.826,108,416,7,17,1,0,0,0,1,1,low_risk
man,150,DRG,sometimes,2,176.968,80.212,28.643,84,709,5,25,1,0,0,0,0,1,low_risk
woman,125,axis Z,usually,3,165.071,50.488,19.105,101,575,4,2,1,0,1,1,1,1,low_risk
woman,125,cygnus,sometimes,2,165.166,51.143,35.099,105,334,10,11,1,0,0,0,1,1,low_risk
woman,125,DRG,never,2,158.116,54.024,40.848,124,213,0,29,1,0,0,0,1,1,low_risk
man,125,cygnus,seldom,2,162.998,56.389,24.619,82,49,0,8,1,0,0,0,1,0,low_risk
man,150,axis Z,seldom,2,167.358,81.385,19.751,72,833,9,6,1,0,0,0,1,1,low_risk
woman,125,GP,usually,3,166.219,50.127,35.542,83,659,3,3,1,1,1,0,0,1,low_risk
man,150,Many,sometimes,2,171.675,69.925,20.164,84,955,2,13,1,0,1,1,0,0,low_risk
woman,150,GP,sometimes,3,159.973,64.101,24.778,92,799,2,4,1,0,0,0,1,1,low_risk
woman,150,GP,always,3,172.984,34.85,43.274,128,86,6,8,1,0,0,1,0,1,low_risk
man,150,Many,sometimes,2,179.201,82.744,25.194,74,871,5,14,1,0,1,0,1,1,low_risk
man,50,BWS,seldom,2,178.622,69.815,20.207,110,402,4,0,1,0,0,0,1,0,low_risk
woman,125,Many,seldom,2,143.964,54.674,30.181,91,449,7,21,1,0,0,1,0,1,low_risk
man,125,GP,seldom,2,180.269,71.619,32.332,51,966,1,13,1,1,1,0,0,1,medium_risk
man,125,GP,usually,3,176.545,68.296,21.597,52,719,7,24,1,0,1,0,0,0,low_risk
woman,50,Swish,never,2,165.552,45.287,19.087,122,316,10,22,1,0,1,0,1,1,low_risk
man,150,Cuxi,usually,2,146.203,72.744,23.337,108,673,3,0,1,0,0,0,0,1,low_risk
woman,125,Cuxi,usually,2,176.255,46.785,19.363,63,810,5,6,1,0,0,0,0,1,low_risk
man,125,Limi,always,2,179.074,62.683,26.975,42,155,6,10,1,0,0,0,0,1,low_risk
man,50,Limi,always,2,187.025,67.458,31.348,56,72,0,1,1,0,0,0,1,1,low_risk
woman,150,BWS,usually,3,147.519,42.778,30.217,58,998,10,0,1,0,1,0,0,1,low_risk
woman,150,JET,sometimes,2,157.111,37.279,47.27,101,179,10,13,1,0,0,0,0,1,low_risk
woman,125,FORCE,seldom,2,164.579,53.248,39.304,53,668,10,18,0,0,1,1,1,1,low_risk
woman,125,famous,usually,2,153.079,54.166,18.531,82,318,5,23,1,0,1,0,1,1,low_risk
man,150,POG,seldom,3,180.591,80.329,36.999,52,617,1,13,1,0,0,1,1,1,low_risk
woman,125,famous,never,2,156.281,45.651,19.808,48,47,3,21,1,0,0,0,0,0,low_risk
man,50,JET,seldom,3,178.182,77.548,27.557,92,485,4,24,1,0,0,0,0,1,low_risk
woman,125,Swish,seldom,2,169.06,51.478,32.805,119,770,8,14,1,0,0,1,0,1,low_risk
man,100,Limi,usually,2,162.011,72.731,21.299,90,454,5,8,1,0,1,1,0,1,low_risk
woman,150,GP,usually,2,148.592,55.848,33.275,92,648,4,21,1,0,0,0,0,1,low_risk
woman,150,Limi,seldom,3,167.635,34.637,35.436,101,29,2,23,1,1,0,0,0,1,low_risk
man,100,Many,usually,2,179.964,81.847,20.812,129,941,1,14,1,1,0,0,0,1,medium_risk
woman,125,axis Z,usually,3,167.137,52.914,33.871,123,65,8,3,1,1,0,1,0,1,low_risk
woman,150,Cuxi,usually,2,153.668,66.266,40.622,84,667,9,6,1,1,1,0,0,1,low_risk
woman,150,Limi,usually,3,148.862,32.599,47.698,95,766,8,9,0,0,0,1,0,1,low_risk
