gender,exhaust_volume,motorcycle_style,passenger_on_backseat,helmet,height,weight,age,purchase_price,monthly_mileage,traffic_ticket_count,speeding_habbit,has_license,has_modifications,is_noisy_engine,is_mountain_ride,has_regular_maintenance,commute_with_motorcycle,class
man,125,FORCE,always,2,166.481,63.727,31.497,97,520,7,27,1,0,1,1,1,1,medium_risk
man,125,GP,seldom,2,168.735,67.487,21.161,64,566,6,0,1,0,1,0,1,0,low_risk
man,125,Cuxi,seldom,2,168.121,66.078,29.856,81,929,6,4,1,0,0,0,0,1,medium_risk
man,150,Swish,usually,2,179.488,64.198,47.477,68,955,7,29,1,0,0,0,0,0,low_risk
man,150,GP,sometimes,3,171.518,69.686,40.112,125,413,5,0,1,0,0,1,1,1,low_risk
woman,125,axis Z,never,3,147.832,36.18,29.929,75,796,5,2,1,1,1,0,1,1,low_risk
woman,125,duke,seldom,3,149.458,40.605,34.399,130,127,3,14,1,1,0,0,0,0,low_risk
woman,125,Fiddle,never,3,144.257,54.617,34.61,86,83,0,0,1,0,0,0,0,1,low_risk
woman,125,FORCE,seldom,3,163.875,46.36,32.072,56,449,0,19,0,0,0,1,1,1,low_risk
woman,50,POG,sometimes,3,162.72,41.52,31.988,57,946,3,7,1,0,1,0,0,1,low_risk
man,125,cygnus,usually,2,188.704,82.382,27.559,66,826,9,4,1,0,0,0,0,0,low_risk
man,50,axis Z,sometimes,2,181.285,53.331,46.166,51,229,1,29,1,0,0,0,1,1,low_risk
man,125,POG,seldom,2,184.191,53.993,18.832,75,615,5,20,1,0,1,0,0,0,low_risk
woman,125,Many,seldom,2,173.51,50.134,29.416,57,588,2,13,1,0,0,0,0,1,medium_risk
man,50,Many,seldom,2,160.293,68.277,38.802,71,574,10,22,1,1,1,1,0,1,low_risk
woman,150,Limi,never,3,162.008,47.051,18.084,128,543,5,20,1,0,0,0,1,1,low_risk
man,100,POG,never,1,174.53,64.104,34.744,66,237,9,3,1,0,1,0,0,1,low_risk
woman,125,Swish,seldom,2,155.823,48.439,35.089,56,302,3,23,1,0,0,0,0,1,medium_risk
man,125,GP,never,3,163.339,80.749,27.186,53,970,4,3,1,1,0,1,0,1,low_risk
woman,125,duke,never,3,156.512,59.255,35.612,129,197,0,4,1,1,0,0,1,0,low_risk
woman,125,FORCE,seldom,2,152.245,52.703,39.193,92,913,4,21,1,0,0,0,0,1,medium_risk
woman,125,Limi,seldom,2,150.584,43.704,34.867,95,109,2,22,0,0,0,0,0,0,low_risk
woman,125,cygnus,seldom,3,162.748,64.374,29.812,112,564,0,4,1,1,0,0,0,1,low_risk
woman,125,BWS,seldom,1,148.912,54.935,54.994,57,419,10,1,1,0,0,0,0,1,low_risk
woman,50,duke,always,2,151.697,41.301,40.327,45,728,10,8,0,1,0,0,0,1,low_risk
man,125,cygnus,seldom,3,183.08,56.445,31.947,130,457,8,21,1,0,0,0,1,1,low_risk
man,125,Many,usually,2,168.788,64.039,34.103,117,450,5,9,1,1,0,1,1,1,medium_risk
man,125,POG,usually,2,178.617,82.577,25.208,99,867,6,22,1,0,0,0,1,1,medium_risk
man,125,BWS,seldom,3,163.909,59.621,35.018,73,237,3,20,1,1,1,0,0,1,low_risk
woman,125,Cuxi,always,2,156.734,50.415,19.501,115,98,6,18,1,0,0,0,0,1,medium_risk
woman,125,Limi,sometimes,3,146.065,56.384,19.128,117,795,7,6,1,1,0,0,1,1,low_risk
woman,100,Swish,never,2,151.3,40.089,30.383,94,708,8,20,1,1,0,0,0,1,medium_risk
man,125,Limi,seldom,2,184.36,69.357,25.295,85,475,5,8,1,0,1,1,1,1,medium_risk
woman,150,BWS,usually,2,146.225,52.796,49.118,127,381,7,21,1,1,0,0,0,0,low_risk
man,150,POG,seldom,1,179.199,62.92,38.571,81,16,9,25,0,1,1,0,0,1,high_risk
man,125,Cuxi,usually,3,179.125,48.268,31.04,64,384,0,28,1,0,1,1,1,0,low_risk
woman,125,Swish,usually,2,166.455,64.602,46.637,113,369,6,27,1,0,0,0,0,1,medium_risk
man,125,JET,usually,1,178.12,74.92,26.932,104,343,6,13,1,0,0,0,1,1,low_risk
man,125,Limi,usually,1,177.695,73.258,34.149,50,985,5,7,1,1,0,0,0,1,low_risk
man,125,Limi,sometimes,1,183.292,80.891,20.799,80,789,8,13,0,0,0,1,0,1,low_risk
woman,50,DRG,usually,2,164.523,45.154,24.791,64,10,5,9,1,0,0,1,0,1,low_risk
man,125,Limi,sometimes,3,189.455,70.818,27.22,50,194,4,8,1,0,1,1,0,1,low_risk
man,125,Cuxi,always,2,178.372,78.465,22.907,99,66,0,24,1,1,0,0,0,1,medium_risk
man,125,Many,sometimes,3,170.984,76.505,33.976,66,651,3,1,1,0,1,1,1,1,low_risk
man,150,cygnus,sometimes,3,173.15,69.032,39.334,101,50,7,26,1,1,0,0,0,1,low_risk
man,125,POG,usually,2,160.551,80.011,57.284,91,254,6,22,1,0,1,0,1,1,medium_risk
man,125,Fiddle,sometimes,3,163.956,67.719,35.626,59,845,7,3,1,0,0,0,0,1,low_risk
woman,125,axis Z,never,1,175.881,66.185,28.647,88,484,9,5,1,0,0,0,1,1,low_risk
man,125,cygnus,seldom,1,158.428,80.328,19.651,121,770,1,17,1,0,0,0,1,1,low_risk
